0.00000000	-47.900391
0.00010000	-47.802734
0.00020000	-47.851563
0.00030000	-47.802734
0.00040000	-47.802734
0.00050000	-47.851563
0.00060000	-47.900391
0.00070000	-47.851563
0.00080000	-47.900391
0.00090000	-47.802734
0.00100000	-47.753906
0.00110000	-47.753906
0.00120000	-47.753906
0.00130000	-47.705078
0.00140000	-47.656250
0.00150000	-47.607422
0.00160000	-47.656250
0.00170000	-47.753906
0.00180000	-47.558594
0.00190000	-47.509766
0.00200000	-47.558594
0.00210000	-47.509766
0.00220000	-47.412109
0.00230000	-47.363281
0.00240000	-47.314453
0.00250000	-47.363281
0.00260000	-47.314453
0.00270000	-47.314453
0.00280000	-47.216797
0.00290000	-47.216797
0.00300000	-47.216797
0.00310000	-47.167969
0.00320000	-47.216797
0.00330000	-47.216797
0.00340000	-47.119141
0.00350000	-46.972656
0.00360000	-46.972656
0.00370000	-46.972656
0.00380000	-46.826172
0.00390000	-46.728516
0.00400000	-46.728516
0.00410000	-46.679688
0.00420000	-46.582031
0.00430000	-46.630859
0.00440000	-46.582031
0.00450000	-46.484375
0.00460000	-46.435547
0.00470000	-46.435547
0.00480000	-46.386719
0.00490000	-46.386719
0.00500000	-46.240234
0.00510000	-46.240234
0.00520000	-46.191406
0.00530000	-45.996094
0.00540000	-45.947266
0.00550000	-45.947266
0.00560000	-45.800781
0.00570000	-45.898438
0.00580000	-45.751953
0.00590000	-45.703125
0.00600000	-45.654297
0.00610000	-45.800781
0.00620000	-45.996094
0.00630000	-46.240234
0.00640000	-46.484375
0.00650000	-46.826172
0.00660000	-47.167969
0.00670000	-47.412109
0.00680000	-47.753906
0.00690000	-48.193359
0.00700000	-48.583984
0.00710000	-49.023438
0.00720000	-49.511719
0.00730000	-50.000000
0.00740000	-50.439453
0.00750000	-50.781250
0.00760000	-51.074219
0.00770000	-51.367188
0.00780000	-51.660156
0.00790000	-51.855469
0.00800000	-52.099609
0.00810000	-52.246094
0.00820000	-52.441406
0.00830000	-52.636719
0.00840000	-52.734375
0.00850000	-52.783203
0.00860000	-52.880859
0.00870000	-52.929688
0.00880000	-53.125000
0.00890000	-53.222656
0.00900000	-53.320313
0.00910000	-53.466797
0.00920000	-53.369141
0.00930000	-53.417969
0.00940000	-53.417969
0.00950000	-53.417969
0.00960000	-53.466797
0.00970000	-53.613281
0.00980000	-53.564453
0.00990000	-53.613281
0.01000000	-53.613281
0.01010000	-53.564453
0.01020000	-53.662109
0.01030000	-53.613281
0.01040000	-53.564453
0.01050000	-53.662109
0.01060000	-53.662109
0.01070000	-53.710938
0.01080000	-53.613281
0.01090000	-53.662109
0.01100000	-53.710938
0.01110000	-53.613281
0.01120000	-53.662109
0.01130000	-53.613281
0.01140000	-53.613281
0.01150000	-53.515625
0.01160000	-53.417969
0.01170000	-53.515625
0.01180000	-53.417969
0.01190000	-53.417969
0.01200000	-53.564453
0.01210000	-53.564453
0.01220000	-53.613281
0.01230000	-53.662109
0.01240000	-53.710938
0.01250000	-53.710938
0.01260000	-53.710938
0.01270000	-53.662109
0.01280000	-53.662109
0.01290000	-53.564453
0.01300000	-53.613281
0.01310000	-53.564453
0.01320000	-53.564453
0.01330000	-53.466797
0.01340000	-53.369141
0.01350000	-53.320313
0.01360000	-53.173828
0.01370000	-53.271484
0.01380000	-53.271484
0.01390000	-53.173828
0.01400000	-53.125000
0.01410000	-53.027344
0.01420000	-52.929688
0.01430000	-52.880859
0.01440000	-52.783203
0.01450000	-52.783203
0.01460000	-52.685547
0.01470000	-52.685547
0.01480000	-52.636719
0.01490000	-52.685547
0.01500000	-52.539063
0.01510000	-52.441406
0.01520000	-52.392578
0.01530000	-52.343750
0.01540000	-52.197266
0.01550000	-52.148438
0.01560000	-52.197266
0.01570000	-52.197266
0.01580000	-52.197266
0.01590000	-52.148438
0.01600000	-52.001953
0.01610000	-51.953125
0.01620000	-51.855469
0.01630000	-51.708984
0.01640000	-51.660156
0.01650000	-51.513672
0.01660000	-51.318359
0.01670000	-51.318359
0.01680000	-51.123047
0.01690000	-51.074219
0.01700000	-50.878906
0.01710000	-50.732422
0.01720000	-50.537109
0.01730000	-50.537109
0.01740000	-50.341797
0.01750000	-50.292969
0.01760000	-50.292969
0.01770000	-50.195313
0.01780000	-50.195313
0.01790000	-50.146484
0.01800000	-50.048828
0.01810000	-49.951172
0.01820000	-50.048828
0.01830000	-49.951172
0.01840000	-49.853516
0.01850000	-49.853516
0.01860000	-49.755859
0.01870000	-49.560547
0.01880000	-49.609375
0.01890000	-49.462891
0.01900000	-49.414063
0.01910000	-49.316406
0.01920000	-49.267578
0.01930000	-49.218750
0.01940000	-49.121094
0.01950000	-48.974609
0.01960000	-48.828125
0.01970000	-48.779297
0.01980000	-48.632813
0.01990000	-48.632813
0.02000000	-48.486328
0.02010000	-48.388672
0.02020000	-48.242188
0.02030000	-48.339844
0.02040000	-48.242188
0.02050000	-48.095703
0.02060000	-47.949219
0.02070000	-47.900391
0.02080000	-47.802734
0.02090000	-47.656250
0.02100000	-47.607422
0.02110000	-47.509766
0.02120000	-47.412109
0.02130000	-47.314453
0.02140000	-47.314453
0.02150000	-47.167969
0.02160000	-47.021484
0.02170000	-47.021484
0.02180000	-47.070313
0.02190000	-46.972656
0.02200000	-46.875000
0.02210000	-46.777344
0.02220000	-46.679688
0.02230000	-46.679688
0.02240000	-46.630859
0.02250000	-46.484375
0.02260000	-46.386719
0.02270000	-46.337891
0.02280000	-46.191406
0.02290000	-46.093750
0.02300000	-45.898438
0.02310000	-45.849609
0.02320000	-45.849609
